"column_name"," column_type"," offset_start"," offset_end"," length"," description"
"arb_agent_id","int(12)","3616","3627","12","Agent for ARB Documents (I.E. ARB Notice)
If id <> 0, then will contain information for the agent that is to receive arb documents"
"arb_agent_name","char(70)","3628","3697","70","ARB Agent Name"
"arb_agent_addr_line1","char(60)","3698","3757","60","ARB Agent Line 1"
"arb_agent_addr_line2","char(60)","3758","3817","60","ARB Agent Line 2"
"arb_agent_addr_line3","char(60)","3818","3877","60","ARB Agent Line 3"
"arb_agent_city","char(50)","3878","3927","50","ARB Agent City"
"arb_agent_state","char(50)","3928","3977","50","ARB Agent State"
"arb_agent_country","char(5)","3978","3982","5","ARB Agent County"
"arb_agent_zip","char(5)","3983","3987","5","ARB Agent Zip (Zip Only)"
"arb_agent_zip_cass","char(4)","3988","3991","4","ARB Agent Zip Cass (Cass Only)"
"arb_agent_zip_rt","char(2)","3992","3993","2","ARB Agent Zip Route (Route Only)"
"filler","char(34)","3994","4027","34","filler"
"mineral_type_of_int","char(5)","4028","4032","5","Mineral Interest Type"
"mineral_int_pct","char(15)","4033","4047","15","Mineral Interest Percent (10 Decimals)"
"productivity_use_code","char(3)","4048","4050","3","Productivity Use Code"
"filler","char(40)","4051","4090","40","filler"
"timber_78_market","int(12)","4091","4102","12","1978 timber market value"
"ag_late_loss","int(12)","4103","4114","12","Late ag loss"
"late_freeport_penalty","int(12)","4115","4126","12","Late freeport penalty"
"filler","char(2)","4127","4128","2","Not In Use"
"filler","char(5)","4129","4133","5","Not In Use"
"filler","char(2)","4134","4135","2","Not In Use"
"dba","char(40)","4136","4175","40","Doing business as"
"filler","char(38)","4176","4213","38","Not In Use"
"market_value","numeric(14)","4214","4227","14","Property market value"
"filler","char(20)","4228","4247","20","Not In Use"
"filler","char(20)","4248","4267","20","Not In Use"
"filler","char(20)","4268","4287","20","Not In Use"
"filler","char(1)","4288","4288","1","Not In Use"
"filler","char(1)","4289","4289","1","Not In Use"
"filler","char(70)","4290","4359","70","Not In Use"
"ov65_deferral_date","char(25)","4360","4384","25","OV65 Deferral Date"
"dp_deferral_date","char(25)","4385","4409","25","DP Deferral Date"
"ref_id1","char(25)","4410","4434","25","Property Reference ID 1"
"ref_id2","char(25)","4435","4459","25","Property Reference ID 2"
"situs_num","char(15)","4460","4474","15","Situs Number"
"situs_unit","char(5)","4475","4479","5","Situs Unit #"
"appr_owner_id","int(12)","4480","4491","12","Current Appraisal Owner ID"
"appr_owner_name","char(70)","4492","4561","70","Current Appraisal Owner Name"
"appr_addr_line1","char(60)","4562","4621","60","Current Appraisal Address Line 1"
"appr_addr_line2","char(60)","4622","4681","60","Current Appraisal Address Line 2"
"appr_addr_line3","char(60)","4682","4741","60","Current Appraisal Address Line 3"
"appr_addr_city","char(50)","4742","4791","50","Current Appraisal Address City"
"appr_addr_state","char(50)","4792","4841","50","Current Appraisal Address State"
"appr_addr_country","char(5)","4842","4846","5","Current Appraisal Address Country"
"appr_addr_zip","char(5)","4847","4851","5","Current Appraisal Address Zip (Zip Only)"
"appr_addr_zip_cass","char(4)","4852","4855","4","Current Appraisal Address Zip Cass (Cass Only)"
"appr_addr_zip_cass_route","char(2)","4856","4857","2","Current Appraisal Address Zip Rt (Route Only)"
"appr_ml_deliverable","char(1)","4858","4858","1","Current Appraisal Owner Address
Y = deliverable address
N = undeliverable address"
"appr_confidential_flag","char(1)","4859","4859","1","Current Appraisal Owner
Confidential Flag ('T' or 'F')"
"appr_address_suppress_flag","char(1)","4860","4860","1","Current Appraisal Owner 
Address Suppression Flag ('T' or 'F')"
"appr_confidential_name","char(70)","4861","4930","70","Current Appraisal Owner Confidential Name"
"py_confidential_name","char(70)","4931","5000","70","Property Year Owner Confidential Name"
"jan1_confidential_name","char(70)","5001","5070","70","Jan 1 Owner Confidential Name"
"filler","char(5)","5071","5075","5","Not In Use (SIC Code moved to end of file due to length change)"
"rendition_filed","char(1)","5076","5076","1","Rendition Filed ('T' or 'F')"
"rendition_date","char(25)","5077","5101","25","Rendition Filed Date"
"rendition_penalty","numeric(15)","5102","5116","15","If > 0, indicates that a Rendition Penalty should be calculated."
"rendition_penalty_date_paid","char(25)","5117","5141","25","Rendition 10% Penalty Date Paid"
"rendition_fraud_penalty","numeric(15)","5142","5156","15","Rendition Fraud Penalty"
"rendition_fraud_penalty_date_paid","char(25)","5157","5181","25","Rendition Fraud Penalty Date Paid"
"filler","char(20)","5182","5201","20","Not In Use"
"entities","char(140)","5202","5341","140","Entities list"
"eco_exempt","char(1)","5342","5342","1","eco exemption"
"dataset_id","numeric(15)","5343","5357","15","Unique number that identifies this export"
"deed_num","char(50)","5358","5407","50","Deed Number"
"chodo_exempt","char(1)","5408","5408","1","Exemption for charitable organizations providing low-income housing ('T' or 'F')"
"local_option_pct_only_flag_hs","char(1)","5409","5409","1","Local option flag for Homesite Percentage ('T' or 'F')"
"local_option_pct_only_flag_ov65","char(1)","5410","5410","1","Local option flag for OV65 exemption ('T' or 'F')"
"local_option_pct_only_flag_ov65s","char(1)","5411","5411","1","Local option flag for OV65S exemption ('T' or 'F')"
"local_option_pct_only_flag_dp","char(1)","5412","5412","1","Local option flag for DP exemption ('T' or 'F')"
"freeze_only_flag_ov65","char(1)","5413","5413","1","Freeze only flag for OV65 exemption ('T' or 'F')"
"freeze_only_flag_ov65s","char(1)","5414","5414","1","Freeze only flag for OV65S exemption ('T' or 'F')"
"freeze_only_flag_dp","char(1)","5415","5415","1","Freeze only flag for DP exemption ('T' or 'F')"
"apply_percent_exemption_flag","char(1)","5416","5416","1","Apply percent exemption flag ('T' or 'F')"
"exemption_percentage","numeric(15)","5417","5431","15","Exemption percentage (string representing a floating point number)"
"vit_flag","char(1)","5432","5432","1","VIT flag; 'T' if property is VIT, otherwise 'F'"
"lih_exempt","char(1)","5433","5433","1","Exemption for charitable organizations providing low-income housing with volunteer labor ('T' or 'F')"
"git_exempt","char(1)","5434","5434","1","Goods in Transit Exemption (‘T’ or ‘F’)"
"dps_exempt","char(1)","5435","5435","1","Disabled Person - Surviving Spouse (‘T’ or ‘F’)"
"dps_deferral_date","char(25)","5436","5460","25","DPS Deferral Date"
"local_option_pct_only_flag_dps","char(1)","5461","5461","1","Local option flag for DPS exemption ('T' or 'F')"
"freeze_only_flag_dps","char(1)","5462","5462","1","Freeze only flag for DPS exemption ('T' or 'F')"
"dvhs_exempt","char(1)","5463","5463","1","Disabled Veteran Homestead - 100% ('T' or 'F')"
"hs_qualify_yr","numeric(4)","5464","5467","4","Qualify Year for HS exemption"
"ov65_qualify_yr","numeric(4)","5468","5471","4","Qualify Year for OV65 exemption"
"ov65s_qualify_yr","numeric(4)","5472","5475","4","Qualify Year for OV65S exemption"
"dp_qualify_yr","numeric(4)","5476","5479","4","Qualify Year for DP exemption"
"dps_qualify_yr","numeric(4)","5480","5483","4","Qualify Year for DPS exemption"
"dv1_qualify_yr","numeric(4)","5484","5487","4","Qualify Year for DV1 exemption"
"dv1s_qualify_yr","numeric(4)","5488","5491","4","Qualify Year for DV1S exemption"
"dv2_qualify_yr","numeric(4)","5492","5495","4","Qualify Year for DV2 exemption"
"dv2s_qualify_yr","numeric(4)","5496","5499","4","Qualify Year for DV2S exemption"
"dv3_qualify_yr","numeric(4)","5500","5503","4","Qualify Year for DV3 exemption"
"dv3s_qualify_yr","numeric(4)","5504","5507","4","Qualify Year for DV3S exemption"
"dv4_qualify_yr","numeric(4)","5508","5511","4","Qualify Year for DV4 exemption"
"dv4s_qualify_yr","numeric(4)","5512","5515","4","Qualify Year for DV4S exemption"
"dvhs_qualify_yr","numeric(4)","5516","5519","4","Qualify Year for DVHS exemption"
"ex_qualify_yr","numeric(4)","5520","5523","4","Qualify Year for EX exemption"
"ab_qualify_yr","numeric(4)","5524","5527","4","Qualify Year for AB exemption"
"en_qualify_yr","numeric(4)","5528","5531","4","Qualify Year for EN exemption"
"fr_qualify_yr","numeric(4)","5532","5535","4","Qualify Year for FR exemption"
"ht_qualify_yr","numeric(4)","5536","5539","4","Qualify Year for HT exemption"
"pro_qualify_yr","numeric(4)","5540","5543","4","Qualify Year for PRO exemption"
"pc_qualify_yr","numeric(4)","5544","5547","4","Qualify Year for PC exemption"
"so_qualify_yr","numeric(4)","5548","5551","4","Qualify Year for SO exemption"
"ex366_qualify_yr","numeric(4)","5552","5555","4","Qualify Year for EX366 exemption"
"ch_qualify_yr","numeric(4)","5556","5559","4","Qualify Year for CH exemption"
"eco_qualify_yr","numeric(4)","5560","5563","4","Qualify Year for ECO exemption"
"chodo_qualify_yr","numeric(4)","5564","5567","4","Qualify Year for CHODO exemption"
"lih_qualify_yr","numeric(4)","5568","5571","4","Qualify Year for LIH exemption"
"git_qualify_yr","numeric(4)","5572","5575","4","Qualify Year for GIT exemption"
"mortgage_addr_line1","char(60)","5576","5635","60","Mortgage Company Address Line 1"
"mortgage_addr_line2","char(60)","5636","5695","60","Mortgage Company Address Line 2"
"mortgage_addr_line3","char(60)","5696","5755","60","Mortgage Company Address Line 3"
"mortgage_addr_city","char(50)","5756","5805","50","Mortgage Company Address City"
"mortgage_addr_state","char(50)","5806","5855","50","Mortgage Company Address State"
"mortgage_addr_country","char(5)","5856","5860","5","Mortgage Company Address Country"
"mortgage_addr_zip","char(5)","5861","5865","5","Mortgage Company Address Zip (Zip Only)"
"mortgage_addr_zip_cass","char(4)","5866","5869","4","Mortgage Company Address Zip Cass (Cass Only)"
"mortgage_addr_zip_rt","char(2)","5870","5871","2","Mortgage Company Address Zip Route (Route Only)"
"mortgage_addr_ml_deliverable","char(1)","5872","5872","1","Mortgage Company Address
Y = deliverable address
N = undeliverable address"
"sic_code","char(10)","5873","5882","10","SIC Code (new position in file due to change in length from 5 to 10)"
"omitted_property_flag","char(1)","5883","5883","1","Omitted Property
Y = Omitted
N = Not omitted"
"hs_prorate_begin","char(25)","5884","5908","25","date the exemption began - used for proration"
"hs_prorate_end","char(25)","5909","5933","25","date the exemption ended - used for proration"
"ov65s_prorate_begin","char(25)","5934","5958","25","date the exemption began - used for proration"
"ov65s_prorate_end","char(25)","5959","5983","25","date the exemption ended - used for proration"
"dp_prorate_begin","char(25)","5984","6008","25","date the exemption began - used for proration"
"dp_prorate_end","char(25)","6009","6033","25","date the exemption ended - used for proration"
"dv1_prorate_begin","char(25)","6034","6058","25","date the exemption began - used for proration"
"dv1_prorate_end","char(25)","6059","6083","25","date the exemption ended - used for proration"
"dv1s_prorate_begin","char(25)","6084","6108","25","date the exemption began - used for proration"
"dv1s_prorate_end","char(25)","6109","6133","25","date the exemption ended - used for proration"
"dv2_prorate_begin","char(25)","6134","6158","25","date the exemption began - used for proration"
"dv2_prorate_end","char(25)","6159","6183","25","date the exemption ended - used for proration"
"dv2s_prorate_begin","char(25)","6184","6208","25","date the exemption began - used for proration"
"dv2s_prorate_end","char(25)","6209","6233","25","date the exemption ended - used for proration"
"dv3_prorate_begin","char(25)","6234","6258","25","date the exemption began - used for proration"
"dv3_prorate_end","char(25)","6259","6283","25","date the exemption ended - used for proration"
"dv3s_prorate_begin","char(25)","6284","6308","25","date the exemption began - used for proration"
"dv3s_prorate_end","char(25)","6309","6333","25","date the exemption ended - used for proration"
"dv4_prorate_begin","char(25)","6334","6358","25","date the exemption began - used for proration"
"dv4_prorate_end","char(25)","6359","6383","25","date the exemption ended - used for proration"
"dv4s_prorate_begin","char(25)","6384","6408","25","date the exemption began - used for proration"
"dv4s_prorate_end","char(25)","6409","6433","25","date the exemption ended - used for proration"
"lve_prorate_begin","char(25)","6434","6458","25","date the exemption began - used for proration"
"lve_prorate_end","char(25)","6459","6483","25","date the exemption ended - used for proration"
"ab_prorate_begin","char(25)","6484","6508","25","date the exemption began - used for proration"
"ab_prorate_end","char(25)","6509","6533","25","date the exemption ended - used for proration"
"en_prorate_begin","char(25)","6534","6558","25","date the exemption began - used for proration"
"en_prorate_end","char(25)","6559","6583","25","date the exemption ended - used for proration"
"fr_prorate_begin","char(25)","6584","6608","25","date the exemption began - used for proration"
"fr_prorate_end","char(25)","6609","6633","25","date the exemption ended - used for proration"
"ht_prorate_begin","char(25)","6634","6658","25","date the exemption began - used for proration"
"ht_prorate_end","char(25)","6659","6683","25","date the exemption ended - used for proration"
"pro_prorate_begin","char(25)","6684","6708","25","date the exemption began - used for proration"
"pro_prorate_end","char(25)","6709","6733","25","date the exemption ended - used for proration"
"pc_prorate_begin","char(25)","6734","6758","25","date the exemption began - used for proration"
"pc_prorate_end","char(25)","6759","6783","25","date the exemption ended - used for proration"
"so_prorate_begin","char(25)","6784","6808","25","date the exemption began - used for proration"
"so_prorate_end","char(25)","6809","6833","25","date the exemption ended - used for proration"
"ex366_prorate_begin","char(25)","6834","6858","25","date the exemption began - used for proration"
"ex366_prorate_end","char(25)","6859","6883","25","date the exemption ended - used for proration"
"ch_prorate_begin","char(25)","6884","6908","25","date the exemption began - used for proration"
"ch_prorate_end","char(25)","6909","6933","25","date the exemption ended - used for proration"
"dps_prorate_begin","char(25)","6934","6958","25","date the exemption began - used for proration"
"dps_prorate_end","char(25)","6959","6983","25","date the exemption ended - used for proration"
"eco_prorate_begin","char(25)","6984","7008","25","date the exemption began - used for proration"
"eco_prorate_end","char(25)","7009","7033","25","date the exemption ended - used for proration"
"chodo_prorate_begin","char(25)","7034","7058","25","date the exemption began - used for proration"
"chodo_prorate_end","char(25)","7059","7083","25","date the exemption ended - used for proration"
"lih_prorate_begin","char(25)","7084","7108","25","date the exemption began - used for proration"
"lih_prorate_end","char(25)","7109","7133","25","date the exemption ended - used for proration"
"git_prorate_begin","char(25)","7134","7158","25","date the exemption began - used for proration"
"git_prorate_end","char(25)","7159","7183","25","date the exemption ended - used for proration"
"clt_exempt","char(1)","7184","7184","1","Exemption for community land trust ('T' or 'F')"
"clt_prorate_begin","char(25)","7185","7209","25","date the exemption began – used for proration"
"clt_prorate_end","char(25)","7210","7234","25","date the exemption ended – used for proration"
"clt_qualify_yr","numeric(4)","7235","7238","4","Qualify Year for CLT exemption"
"dvhss_exempt","char(1)","7239","7239","1","Exemption for DVHS Surviving Spouse ('T' or 'F')"
"dvhss_prorate_begin","char(25)","7240","7264","25","date the exemption began – used for proration"
"dvhss_prorate_end","char(25)","7265","7289","25","date the exemption ended – used for proration"
"dvhss_qualify_yr","numeric(4)","7290","7293","4","Qualify Year for DVHS Surviving Spouse exemption"
"omitted_imprv_hstd_val","numeric(15)","7294","7308","15","Omitted Improvement Homestead Value"
"omitted_imprv_non_hstd_val","numeric(15)","7309","7323","15","Omitted Improvement Non-Homestead Value"
"dvhs_prorate_begin","char(25)","7324","7348","25","date the exemption began – used for proration"
"dvhs_prorate_end","char(25)","7349","7373","25","date the exemption ended – used for proration"
"ex_xd_exempt","char(1)","7374","7374","1","EX-XD 11.181 exemption (‘T’ or ‘F’)"
"ex_xd_qualify_yr","numeric(4)","7375","7378","4","Qualify Year for EX-XD 11.181 exemption"
"ex_xd_prorate_begin","char(25)","7379","7403","25","Proration begin date for EX-XD 11.181 exemption"
"ex_xd_prorate_end","char(25)","7404","7428","25","Proration end date for EX-XD 11.181 exemption"
"ex_xf_exempt","char(1)","7429","7429","1","EX-XF 11.183 exemption (‘T’ or ‘F’)"
"ex_xf_qualify_yr","numeric(4)","7430","7433","4","Qualify Year for EX-XF 11.183 exemption"
"ex_xf_prorate_begin","char(25)","7434","7458","25","Proration begin date for EX-XF 11.183 exemption"
"ex_xf_prorate_end","char(25)","7459","7483","25","Proration end date for EX-XF 11.183 exemption"
"ex_xg_exempt","char(1)","7484","7484","1","EX-XG 11.184 exemption (‘T’ or ‘F’)"
"ex_xg_qualify_yr","numeric(4)","7485","7488","4","Qualify Year for EX-XG 11.184 exemption"
"ex_xg_prorate_begin","char(25)","7489","7513","25","Proration begin date for EX-XG 11.184 exemption"
"ex_xg_prorate_end","char(25)","7514","7538","25","Proration end date for EX-XG 11.184 exemption"
"ex_xh_exempt","char(1)","7539","7539","1","EX-XH 11.185 exemption (‘T’ or ‘F’)"
"ex_xh_qualify_yr","numeric(4)","7540","7543","4","Qualify Year for EX-XH 11.185 exemption"
"ex_xh_prorate_begin","char(25)","7544","7568","25","Proration begin date for EX-XH 11.185 exemption"
"ex_xh_prorate_end","char(25)","7569","7593","25","Proration end date for EX-XH 11.185 exemption"
"ex_xi_exempt","char(1)","7594","7594","1","EX-XI 11.19 exemption (‘T’ or ‘F’)"
"ex_xi_qualify_yr","numeric(4)","7595","7598","4","Qualify Year forEX-XI 11.19 exemption"
"ex_xi_prorate_begin","char(25)","7599","7623","25","Proration begin date for EX-XI 11.19 exemption"
"ex_xi_prorate_end","char(25)","7624","7648","25","Proration end date for EX-XI 11.19 exemption"
"ex_xj_exempt","char(1)","7649","7649","1","EX-XJ 11.21 exemption (‘T’ or ‘F’)"
"ex_xj_qualify_yr","numeric(4)","7650","7653","4","Qualify Year for EX-XJ 11.21 exemption"
"ex_xj_prorate_begin","char(25)","7654","7678","25","Proration begin date for EX-XJ 11.21 exemption"
"ex_xj_prorate_end","char(25)","7679","7703","25","Proration end date for EX-XJ 11.21 exemption"
"ex_xl_exempt","char(1)","7704","7704","1","EX-XL 11.231 exemption (‘T’ or ‘F’)"
"ex_xl_qualify_yr","numeric(4)","7705","7708","4","Qualify Year for EX-XL 11.231 exemption"
"ex_xl_prorate_begin","char(25)","7709","7733","25","Proration begin date for EX-XL 11.231 exemption"
"ex_xl_prorate_end","char(25)","7734","7758","25","Proration end date for EX-XL 11.231 exemption"
